year,local_day,LOCAL_HOUR_END,tot_solar_mwh,_FREQ_
2018,1-Feb-18,6,,
2018,1-Feb-18,7,0.241,6
2018,1-Feb-18,8,4.19,247
2018,1-Feb-18,9,26.901,496
2018,1-Feb-18,10,68.474,547
2018,1-Feb-18,11,157.028,604
2018,1-Feb-18,12,223.788,646
2018,1-Feb-18,13,317.521,722
2018,1-Feb-18,14,348.223,744
2018,1-Feb-18,15,207.194,686
2018,1-Feb-18,16,75.8,582
2018,1-Feb-18,17,11.921,538
2018,1-Feb-18,18,0.209,6
2018,1-Feb-18,19,,
2018,1-Feb-18,20,,
2018,1-Feb-18,21,,
2018,1-Feb-18,22,,
2018,1-Feb-18,23,,
2018,1-Feb-18,24,,
2018,2-Feb-18,1,,
2018,2-Feb-18,2,,
2018,2-Feb-18,3,,
2018,2-Feb-18,4,,
2018,2-Feb-18,5,,
2018,2-Feb-18,6,,
2018,2-Feb-18,7,0.243,6
2018,2-Feb-18,8,0.75,75
2018,2-Feb-18,9,9.044,360
2018,2-Feb-18,10,33.336,574
2018,2-Feb-18,11,108.022,638
2018,2-Feb-18,12,207.39,708
2018,2-Feb-18,13,239.732,732
2018,2-Feb-18,14,230.589,713
2018,2-Feb-18,15,168.456,668
2018,2-Feb-18,16,95.791,613
2018,2-Feb-18,17,17.533,451
2018,2-Feb-18,18,0.201,7
2018,2-Feb-18,19,,
2018,2-Feb-18,20,,
2018,2-Feb-18,21,,
2018,2-Feb-18,22,,
2018,2-Feb-18,23,,
2018,2-Feb-18,24,,
2018,3-Feb-18,1,,
2018,3-Feb-18,2,,
2018,3-Feb-18,3,,
2018,3-Feb-18,4,,
2018,3-Feb-18,5,,
2018,3-Feb-18,6,,
2018,3-Feb-18,7,0.29,10
2018,3-Feb-18,8,22.639,452
2018,3-Feb-18,9,146.474,686
2018,3-Feb-18,10,292.215,783
2018,3-Feb-18,11,394.618,820
2018,3-Feb-18,12,453.425,849
2018,3-Feb-18,13,478.746,861
2018,3-Feb-18,14,447.175,856
2018,3-Feb-18,15,336.733,825
2018,3-Feb-18,16,171.387,716
2018,3-Feb-18,17,27.683,513
2018,3-Feb-18,18,0.226,10
2018,3-Feb-18,19,,
2018,3-Feb-18,20,,
2018,3-Feb-18,21,,
2018,3-Feb-18,22,,
2018,3-Feb-18,23,,
2018,3-Feb-18,24,,
2018,4-Feb-18,1,,
2018,4-Feb-18,2,,
2018,4-Feb-18,3,,
2018,4-Feb-18,4,,
